"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"Content/Story/Text.d:6","Skrzynia","Bedna","","False","MOBNAME_CRATE","",""
"Content/Story/Text.d:7","Skrzynia","Truhla","","False","MOBNAME_CHEST","",""
"Content/Story/Text.d:8","Łóżko","Postel","","False","MOBNAME_BED","",""
"Content/Story/Text.d:9","Drzwi","Dveře","","False","MOBNAME_DOOR","",""
"Content/Story/Text.d:16","Kowadło","Kovadlina","","False","MOBNAME_ANVIL","",""
"Content/Story/Text.d:17","Wiadro wody","Vědro s vodou","","False","MOBNAME_BUCKET","",""
"Content/Story/Text.d:18","Palenisko","Výheň","","","MOBNAME_FORGE","",""
"Content/Story/Text.d:19","Kamień szlifierski","Brus","","","MOBNAME_GRINDSTONE","",""
"Content/Story/Text.d:20","Kołowrót","Naviják","","False","MOBNAME_WHEEL","",""
"Content/Story/Text.d:24","Kocioł","Kotlík","","False","MOBNAME_CAULDRON","",""
"Content/Story/Text.d:26","Patelnia","Pánvička","","False","MOBNAME_PAN","",""
"Content/Story/Text.d:28","Fajka wodna","Vodní dýmka","","False","MOBNAME_WATERPIPE","",""
"Content/Story/Text.d:29","Drabina","Žebřík","","","MOBNAME_LADDER","",""
"Content/Story/Text.d:30","Przełącznik","Spínač","","False","MOBNAME_SWITCH","",""
"Content/Story/Text.d:32","Bryłka rudy","Magická ruda","","False","MOBNAME_ORE","",""
"Content/Story/Text.d:35","Miech","Měch","","","MOBNAME_BELLOW","",""
"Content/Story/Text.d:37","Mumia","Mumie","","","MOBNAME_ORC_MUMMY","",""
"Content/Story/Text.d:38","Kolumna","Sloup","","","MOBNAME_PILLAR","",""
"Content/Story/Text.d:42","Rozdrabniacz","Hmoždíř","","False","MOBNAME_HERB_PSI","",""
"Content/Story/Text.d:43","Figurka","Figurka","","","MOBNAME_IDOL","",""
"Content/Story/Text.d:46","Cel","Terč","","","MOBNAME_TARGETSTONE","",""
"Content/Story/Text.d:47","Kaplica Serc","Skřetí relikviář se srdcem","","","MOBNAME_SHRINE","",""
"Content/Story/Text.d:48","Tajemnicza kapliczka","Podivný kámen","","","MOBNAME_SWORDSTONE","",""
"Content/Story/Text.d:59","(brak)","(žádné)","","","TXT_GUILDS[0]","",""
"Content/Story/Text.d:60","Magnat","Rudobaron","","","TXT_GUILDS[1]","",""
"Content/Story/Text.d:61","Strażnik","Strážce","","False","TXT_GUILDS[2]","",""
"Content/Story/Text.d:62","Cień","Stín","","","TXT_GUILDS[3]","",""
"Content/Story/Text.d:63","Mag Ognia","Mág Ohně","","False","TXT_GUILDS[4]","",""
"Content/Story/Text.d:64","Kopacz","Kopáč","","False","TXT_GUILDS[5]","",""
"Content/Story/Text.d:65","Mag Wody","Mág Vody","","False","TXT_GUILDS[6]","",""
